facility_id,jurisdiction_code,jurisdiction_facility_id,registered_business_name,facility_name,abn,acn,street_address,suburb,state,postcode,latitude,longitude,primary_anzsic_class_code,primary_anzsic_class_name,main_activities,facility_website,first_report_year,latest_report_year,latest_report_id,latest_report_url,reports
597428,WA,WA1363,GOLDFIELDS GAS TRANSMISSION PTY LTD,"GGT, Cosmos Delivery/Meter Station",87004273241,004273241,50km N of Leinster Mt Keith Road,Sir Samuel,WA,6437,-27.591047,120.58151,2700,Gas Supply,Gas meter & delivery station,,2012/2013,2022/2023,544474,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1363,7
597430,WA,WA1364,GOLDFIELDS GAS TRANSMISSION PTY LTD,"GGT, Gwalia Delivery/Meter Station",87004273241,004273241,Station street,Leonora,WA,6438,-28.917664,121.328199,2700,Gas Supply,Gas meter & delivery station,,2012/2013,2022/2023,544462,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1364,11
597550,WA,WA1365,GOLDFIELDS GAS TRANSMISSION PTY LTD,"GGT, Jaguar Delivery/Meter Station",87004273241,004273241,Golfields Highway,Leonora,WA,6438,-28.424031,121.143708,2700,Gas Supply,Gas meter & delivery station,,2012/2013,2022/2023,544464,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1365,11
597552,WA,WA1366,GOLDFIELDS GAS TRANSMISSION PTY LTD,"GGT, Jundee Delivery/Meter Station",87004273241,004273241,Jundee Road,Wiluna,WA,6646,-26.360867,120.620302,2700,Gas Supply,Gas meter & delivery station,,2012/2013,2022/2023,545616,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1366,10
597554,WA,WA1367,GOLDFIELDS GAS TRANSMISSION PTY LTD,"GGT, Leinster Terminal Delivery/Meter Station",87004273241,004273241,12km North of Leinster,Leinster,WA,6437,-27.812547,120.697154,2700,Gas Supply,Gas meter & delivery station,,2012/2013,2022/2023,544466,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1367,11
597556,WA,WA1368,GOLDFIELDS GAS TRANSMISSION PTY LTD,"GGT, Leonora Delivery/Meter Station",87004273241,004273241,Leonora-Mount Isa Road,Leonora,WA,6438,-28.881171,121.320922,2700,Gas Supply,Gas meter & delivery station,,2012/2013,2022/2023,544836,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1368,11
597558,WA,WA1369,GOLDFIELDS GAS TRANSMISSION PTY LTD,"GGT, Magellan Delivery/Meter Station",87004273241,004273241,Goldfields Hwy,Wiluna,WA,6646,-26.524911,119.952272,2700,Gas Supply,Gas meter & delivery station,,2012/2013,2017/2018,498448,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2018/jurisdiction-facility/WA1369,5
597560,WA,WA1370,GOLDFIELDS GAS TRANSMISSION PTY LTD,"GGT, Mt Keith Delivery/Meter Station",87004273241,004273241,Goldfields Hwy,Wiluna,WA,6646,-27.214516,120.548664,2700,Gas Supply,Gas meter & delivery station,,2012/2013,2022/2023,544468,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1370,11
597562,WA,WA1371,GOLDFIELDS GAS TRANSMISSION PTY LTD,"GGT, Murrin Murrin Delivery/Meter Station",87004273241,004273241,3km North of Laverton - Leonora Hwy,Laverton,WA,6440,-28.768631,121.897788,2700,Gas Supply,Gas meter & delivery station,,2012/2013,2022/2023,544460,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1371,11
597564,WA,WA1372,GOLDFIELDS GAS TRANSMISSION PTY LTD,"GGT, Paraburdoo Delivery/Meter Station",87004273241,004273241,18km South of Paraburdoo,Innawanga,WA,6751,-23.340284,117.579639,2700,Gas Supply,Gas meter & delivery station,,2012/2013,2022/2023,544492,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1372,10
